Produto,Código do Produto,Descrição,Quantidade,Valor Unitário,Categoria,Marca,Característica
Produto,Código do Produto,Descrição,Quantidade,Valor Unitário,Categoria,Marca,Característica
Produto,Código do Produto,Descrição,Quantidade,230,Categoria,Marca,Característica
Produto,Código do Produto,Descrição,Quantidade,230,Categoria,Marca,Característica
Produto,Código do Produto,Descrição,Quantidade,230,Categoria,Marca,Característica
Produto,Código do Produto,Descrição,Quantidade,230,Categoria,Marca,Característica
Produto,Código do Produto,Descrição,Quantidade,230,Categoria,Marca,Característica
Produto,Código do Produto,Descrição,Quantidade,230,Categoria,Marca,Característica
Produto,Código do Produto,Descrição,Quantidade,230,Categoria,Marca,Característica
Produto,Código do Produto,Descrição,Quantidade,230,Categoria,Marca,Característica
Produto,Código do Produto,Descrição,Quantidade,230,Categoria,Marca,Característica
Smartphone,123456,Smartphone com câmera de alta resolução,1,34,Eletrônicos,Samsung,Android
Laptop,234567,Laptop com tela de 15 polegadas,4,0.0,Eletrônicos,Dell,Windows
Headphone,345678,Headphone sem fio com cancelamento de ruído,25,0.0,Eletrônicos,Sony,Bluetooth
Televisão,456789,Smart TV 4K de 55 polegadas,8,0.0,Eletrônicos,LG,4K UHD
Console de Videogame,567890,Console de última geração com suporte a VR,10,750.0,Eletrônicos,PlayStation,VR Compatível
Ferro de Solda,30,Ferro de solda para eletrônicos,96,0.0,Ferramentas,Genérico,2 semanas de garantia
Cassete,33,Cassete para gravação de dados,245,0.0,Ferramentas,Genérico,2 anos de garantia
teste,23,,23,R$ 23.00,teste,teste,
novoteste,1234,,999,350,novoteste,novoteste,
Produto,Código do Produto,Descrição,Quantidade,230,Categoria,Marca,Característica
Produto,Código do Produto,Descrição,Quantidade,230,Categoria,Marca,Característica
Produto,Código do Produto,Descrição,Quantidade,230,Categoria,Marca,Característica
Produto,Código do Produto,Descrição,Quantidade,230,Categoria,Marca,Característica
Produto,Código do Produto,Descrição,Quantidade,230,Categoria,Marca,Característica
Smartphone,123456,Smartphone com câmera de alta resolução,1,34,Eletrônicos,Samsung,Android
Laptop,234567,Laptop com tela de 15 polegadas,4,0.0,Eletrônicos,Dell,Windows
Headphone,345678,Headphone sem fio com cancelamento de ruído,25,0.0,Eletrônicos,Sony,Bluetooth
Televisão,456789,Smart TV 4K de 55 polegadas,8,0.0,Eletrônicos,LG,4K UHD
Console de Videogame,567890,Console de última geração com suporte a VR,10,750.0,Eletrônicos,PlayStation,VR Compatível
Ferro de Solda,30,Ferro de solda para eletrônicos,96,0.0,Ferramentas,Genérico,2 semanas de garantia
Cassete,33,Cassete para gravação de dados,245,0.0,Ferramentas,Genérico,2 anos de garantia
teste,23,,23,R$ 23.00,teste,teste,
novoteste,1234,,999,350,novoteste,novoteste,
Produto,Código do Produto,Descrição,Quantidade,230,Categoria,Marca,Característica
Produto,Código do Produto,Descrição,Quantidade,230,Categoria,Marca,Característica
Produto,Código do Produto,Descrição,Quantidade,230,Categoria,Marca,Característica
Produto,Código do Produto,Descrição,Quantidade,230,Categoria,Marca,Característica
Produto,Código do Produto,Descrição,Quantidade,230,Categoria,Marca,Característica
Smartphone,123456,Smartphone com câmera de alta resolução,1,34,Eletrônicos,Samsung,Android
Laptop,234567,Laptop com tela de 15 polegadas,4,0.0,Eletrônicos,Dell,Windows
Headphone,345678,Headphone sem fio com cancelamento de ruído,25,0.0,Eletrônicos,Sony,Bluetooth
Televisão,456789,Smart TV 4K de 55 polegadas,8,0.0,Eletrônicos,LG,4K UHD
Console de Videogame,567890,Console de última geração com suporte a VR,10,750.0,Eletrônicos,PlayStation,VR Compatível
Ferro de Solda,30,Ferro de solda para eletrônicos,96,0.0,Ferramentas,Genérico,2 semanas de garantia
Cassete,33,Cassete para gravação de dados,245,0.0,Ferramentas,Genérico,2 anos de garantia
teste,23,,23,R$ 23.00,teste,teste,
novoteste,1234,,999,350,novoteste,novoteste,
Produto,Código do Produto,Descrição,Quantidade,230,Categoria,Marca,Característica
Produto,Código do Produto,Descrição,Quantidade,230,Categoria,Marca,Característica
Produto,Código do Produto,Descrição,Quantidade,230,Categoria,Marca,Característica
Produto,Código do Produto,Descrição,Quantidade,230,Categoria,Marca,Característica
Produto,Código do Produto,Descrição,Quantidade,230,Categoria,Marca,Característica
Smartphone,123456,Smartphone com câmera de alta resolução,1,34,Eletrônicos,Samsung,Android
Laptop,234567,Laptop com tela de 15 polegadas,4,0.0,Eletrônicos,Dell,Windows
Headphone,345678,Headphone sem fio com cancelamento de ruído,25,0.0,Eletrônicos,Sony,Bluetooth
Televisão,456789,Smart TV 4K de 55 polegadas,8,0.0,Eletrônicos,LG,4K UHD
Console de Videogame,567890,Console de última geração com suporte a VR,10,750.0,Eletrônicos,PlayStation,VR Compatível
Ferro de Solda,30,Ferro de solda para eletrônicos,96,0.0,Ferramentas,Genérico,2 semanas de garantia
Cassete,33,Cassete para gravação de dados,245,0.0,Ferramentas,Genérico,2 anos de garantia
teste,23,,23,R$ 23.00,teste,teste,
novoteste,1234,,999,350,novoteste,novoteste,
Produto,Código do Produto,Descrição,Quantidade,230,Categoria,Marca,Característica
Produto,Código do Produto,Descrição,Quantidade,230,Categoria,Marca,Característica
Produto,Código do Produto,Descrição,Quantidade,230,Categoria,Marca,Característica
Produto,Código do Produto,Descrição,Quantidade,230,Categoria,Marca,Característica
Produto,Código do Produto,Descrição,Quantidade,230,Categoria,Marca,Característica
Produto,Código do Produto,Descrição,Quantidade,230,Categoria,Marca,Característica
Smartphone,123456,Smartphone com câmera de alta resolução,1,34.0,Eletrônicos,Samsung,Android
Laptop,234567,Laptop com tela de 15 polegadas,4,0.0,Eletrônicos,Dell,Windows
Headphone,345678,Headphone sem fio com cancelamento de ruído,25,0.0,Eletrônicos,Sony,Bluetooth
Televisão,456789,Smart TV 4K de 55 polegadas,8,0.0,Eletrônicos,LG,4K UHD
Console de Videogame,567890,Console de última geração com suporte a VR,10,7500.0,Eletrônicos,PlayStation,VR Compatível
Ferro de Solda,30,Ferro de solda para eletrônicos,96,0.0,Ferramentas,Genérico,2 semanas de garantia
Cassete,33,Cassete para gravação de dados,245,0.0,Ferramentas,Genérico,2 anos de garantia
teste,23,,23,2300.0,teste,teste,
novo-teste,1234,,999,350,novoteste,novoteste,
Produto,Código do Produto,Descrição,Quantidade,230,Categoria,Marca,Característica
Produto,Código do Produto,Descrição,Quantidade,230,Categoria,Marca,Característica
Produto,Código do Produto,Descrição,Quantidade,230,Categoria,Marca,Característica
Produto,Código do Produto,Descrição,Quantidade,230,Categoria,Marca,Característica
Produto,Código do Produto,Descrição,Quantidade,230,Categoria,Marca,Característica
Smartphone,123456,Smartphone com câmera de alta resolução,1,34.0,Eletrônicos,Samsung,Android
Laptop,234567,Laptop com tela de 15 polegadas,4,0.0,Eletrônicos,Dell,Windows
Headphone,345678,Headphone sem fio com cancelamento de ruído,25,0.0,Eletrônicos,Sony,Bluetooth
Televisão,456789,Smart TV 4K de 55 polegadas,8,0.0,Eletrônicos,LG,4K UHD
Console de Videogame,567890,Console de última geração com suporte a VR,10,7500.0,Eletrônicos,PlayStation,VR Compatível
Ferro de Solda,30,Ferro de solda para eletrônicos,96,0.0,Ferramentas,Genérico,2 semanas de garantia
Cassete,33,Cassete para gravação de dados,245,0.0,Ferramentas,Genérico,2 anos de garantia
teste,23,,23,2300.0,teste,teste,
novoteste,1234,,999,350,novoteste,novoteste,
